Type,TY,A2,A3,A4,AB,AD,AN,AU,C1,C2,C3,C4,C5,C6,C7,C8,CA,CN,CT,CY,DA,DB,DO,DP,ET,IS,J2,KW,L1,L4,LA,LB,M1,M2,M3,N1,NV,OP,PB,PY,RI,RN,RP,SE,SN,SP,ST,SV,T2,T3,TA,TI,TT,UR,VL,Y2
JFULL,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
JOUR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
LEGAL,@type,issuing_org,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,place_published,date_code_ed,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,page_start,N/A,type,notes,session_no,history,publisher,year,N/A,research_notes,N/A,section_no,document_no,pages,N/A,N/A,title_no,supplement_no,author_translated,title,title_translated,url,rule_no,date_accessed
MANSCPT,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,descr_material,N/A,abbreviation,keywords,file_attm,figure,language,label,folio_no,N/A,type,notes,manuscript_no,N/A,library_or_archive,year,N/A,research_notes,reprint_edition,page_start,N/A,pages,title_short,N/A,coll_title,N/A,author_translated,title,title_translated,url,volume_or_container,date_accessed
MAP,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,cartographer,scale,area,size,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,reprint_edition,N/A,isbn,description,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,date_accessed
MGZN,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,place_published,date,db_name,doi,db_provider,edition,N/A,mag_alt,keywords,file_attm,figure,language,label,issue_no,N/A,type,notes,frequency,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,page_start,issn,pages,title_short,N/A,magazine,N/A,author_translated,title,title_translated,url,volume,date_accessed
MPCT,@type,series_director,producer,performers,synopsis,author_addr,accession_no,director,cast,credits,N/A,genre,format,N/A,N/A,N/A,caption,call_no,N/A,country,date_released,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,N/A,N/A,medium,notes,N/A,N/A,distributor,year_released,N/A,research_notes,N/A,N/A,N/A,running_time,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,date_accessed
MULTI,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,created_by,year_cited,date_cited,N/A,N/A,format_length,N/A,N/A,N/A,caption,N/A,N/A,N/A,date_accessed,db_name,doi,db_provider,N/A,N/A,N/A,keywords,file_attm,figure,language,label,screens_count,N/A,type,notes,N/A,N/A,distributor,year,N/A,research_notes,N/A,N/A,N/A,N/A,N/A,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,N/A
MUSIC,@type,editor,series_editor,producer,abstract,author_addr,accession_no,composer,format_of_music,form_of_composition,music_parts,target_audience,accompanying_matter,N/A,N/A,N/A,caption,call_no,N/A,place_published,date,db_name,doi,db_provider,edition,N/A,N/A,keywords,file_attm,figure,language,label,N/A,N/A,form_of_item,notes,volumes_count,original_publ,publisher,year,N/A,research_notes,reprint_edition,section,issn,pages,title_short,N/A,title_album,series_title,author_translated,title,title_translated,url,volume,date_accessed
NEWS,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,reporter,column,issue,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,N/A,db_name,doi,db_provider,edition,N/A,N/A,keywords,figure,file_attm,language,N/A,page_start,N/A,type,notes,frequency,N/A,publisher,year,reviewed_item,research_notes,reprint_edition,section,issn,pages,title_short,N/A,newspaper,N/A,author_translated,title,title_translated,url,volume,date_accessed
PAMP,@type,institution,N/A,translator,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,series_volume,pages_count,type,notes,N/A,original_publ,publisher,year,N/A,research_notes,reprint_edition,N/A,isbn,pages,title_short,N/A,published_source,N/A,author_translated,title,title_translated,url,number,date_accessed
PAT,@type,issuing_org,author_international,N/A,abstract,inventor_addr,accession_no,inventor,N/A,issue_date,designated_states,attorney_agent,references,legal_status,N/A,N/A,caption,call_no,N/A,country,date,db_name,doi,db_provider,international_patent_classification,N/A,N/A,keywords,file_attm,figure,language,label,applic_no,N/A,type,notes,us_patent_classification,priority_numbers,assignee,year,N/A,research_notes,notes,international_patent_no,patent_no,pages,title_short,N/A,published_source,title_intl,author_translated,title,title_translated,url,patent_version_no,date_accessed
PCOMM,@type,recipient,N/A,N/A,abstract,author_addr,accession_no,author,email_sender,email_recipient,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,description,N/A,abbreviation,keywords,file_attm,figure,language,label,folio_no,N/A,type,notes,comm_no,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,pages,title_short,N/A,N/A,N/A,author_translated,title,title_translated,url,N/A,date_accessed
RPRT,@type,series_editor,publisher,dept_div,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,issue,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,document_no,N/A,type,notes,series_volume,content,institution,year,N/A,research_notes,notes,N/A,report_no,pages,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,volume,date_accessed
SER,@type,editor,series_editor,volume_editor,abstract,author_addr,accession_no,author,section,report_no,N/A,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,series_volume,N/A,type,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,chapter,isbn,pages,title_short,N/A,title_secondary,series_title,author_translated,title,title_translated,url,Volume,date_accessed
SLIDE,@type,performers,series_editor,N/A,abstract,author_addr,accession_no,author,cast,credits,size_or_length,N/A,format,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,number,N/A,type,notes,extent_of_work,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,N/A,title_short,N/A,N/A,series_title,author_translated,title,title_translated,url,volume,date_accessed
SOUND,@type,performers,series_editor,N/A,abstract,author_addr,accession_no,author,cast,credits,size_or_length,N/A,format,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,number,N/A,type,notes,extent_of_work,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,N/A,title_short,N/A,N/A,series_title,author_translated,title,title_translated,url,volume,date_accessed
STAND,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,institution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,place_published,date,db_name,doi,db_provider,N/A,N/A,abbreviation,keywords,file_attm,figure,language,label,page_start,N/A,type,notes,session_no,N/A,publisher,year,N/A,research_notes,N/A,section_no,document_no,pages,N/A,N/A,section_title,paper_no,author_translated,title,title_translated,url,rule_no,date_accessed
STAT,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,N/A,N/A,N/A,N/A,N/A,publisher,volume,N/A,N/A,caption,call_no,N/A,country,date_enacted,db_name,doi,db_provider,session,N/A,abbreviation,keywords,file_attm,figure,language,label,public_law_no,N/A,N/A,notes,statute_no,history,source,year,article_no,research_notes,N/A,section,N/A,pages,title_short,N/A,code,international_source,author_translated,act_name,title_translated,url,code_no,date_enacted
THES,@type,N/A,advisor,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,N/A,N/A,N/A,keywords,file_attm,figure,language,label,document_no,N/A,type,notes,N/A,N/A,university,year,N/A,research_notes,N/A,N/A,N/A,pages_count,title_short,N/A,acad_dept,N/A,author_translated,title,title_translated,url,degree,date_accessed
UNBILL,@type,sponsor,N/A,N/A,abstract,author_addr,accession_no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,session,N/A,N/A,keywords,file_attm,figure,language,label,bill_no,N/A,N/A,notes,N/A,history,N/A,year,N/A,research_notes,N/A,code_section,N/A,code_pages,title_short,N/A,code,legislative_body,author_translated,title,title_translated,url,code_volume,date_accessed
UNPB,@type,series_editor,N/A,N/A,abstract,author_addr,N/A,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,N/A,N/A,city,date,db_name,doi,db_provider,N/A,N/A,abbreviation,keywords,file_attm,figure,language,label,number,N/A,type,notes,N/A,N/A,institution,year,N/A,research_notes,N/A,N/A,N/A,pages,title_short,N/A,series_title,dept,author_translated,title,title_translated,url,N/A,date_accessed
VIDEO,@type,performers,series_editor,N/A,abstract,author_addr,accession_no,author,cast,credits,size_or_length,N/A,format,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,number,N/A,type,notes,extent_of_work,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,N/A,title_short,N/A,N/A,series_title,author_translated,title,title_translated,url,volume,date_accessed
